rank,topic,url,ease_of_reading,sentence_level_sentiment,positive_sentiment,negative_sentiment,sentence_level_objectivity,bias,bias_label,credibility,trust_metric,google_page_rank,alexa_reach_rank,domain,content_length
54,Immigration,https://www.huffpost.com/entry/us-deport-migrant-children-coronavirus-bill_n_5e8d8e46c5b6e1d10a6c30dc,100.0,16.67,16.666666666666664,0.0,76.67,100,Right,nan,nan,nan,nan,huffpost.com,3798
55,Immigration,https://www.fastcompany.com/90486432/immigrant-social-network-homeis-is-providing-covid-19-help-to-communities-with-nowhere-else-to-turn?partner=feedburner,80.0,12.87,10.130643166357451,2.7343846629560913,66.4,50,Partially Left,87.5,64.0,8,2064.0,fastcompany.com,5801
56,Immigration,https://news.yahoo.com/guatemalan-migrant-dies-u-custody-002133158.html,80.0,13.46,10.892857142857144,2.564935064935065,64.37,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,1296
57,Immigration,https://news.yahoo.com/trump-mulls-sending-cross-border-000505417.html,40.0,17.52,12.34674329501916,5.1746943988323295,60.82,100,Right,87.5,95.0,8,8.0,news.yahoo.com,3494
58,Immigration,https://torontosun.com/news/local-news/warmington-nightmare-ending-for-canadians-trapped-on-covid-stricken-cruise-ship,80.0,13.92,7.321428571428572,6.597222222222222,68.11,50,Partially Left,nan,nan,nan,nan,torontosun.com,273
59,Immigration,https://edmontonjournal.com/news/politics/covid-19-albertans-face-500000-for-ignoring-social-distancing-orders,40.0,22.39,12.15873015873016,10.227272727272728,62.23,50,Partially Left,100.0,65.0,8,9372.0,edmontonjournal.com,273
60,Immigration,https://vancouverisland.ctvnews.ca/b-c-jails-release-nearly-100-inmates-early-to-prevent-outbreak-of-covid-19-1.4886467,80.0,9.26,8.767957351290685,0.49382716049382713,71.37,50,Partially Left,100.0,65.0,7,3261.0,vancouverisland.ctvnews.ca,3431
61,Immigration,https://news.yahoo.com/detainees-us-immigration-jails-living-060047303.html,40.0,6.91,5.382575757575758,1.525252525252525,74.12,50,Partially Right,87.5,95.0,8,8.0,news.yahoo.com,6196
62,Immigration,https://www.buzzfeed.com/hannahryan/refugees-coronavirus-detention-brisbane-guard-diagnosed,80.0,9.75,5.210469355206197,4.5363408521303255,72.83,50,Partially Right,nan,nan,nan,nan,buzzfeed.com,4519
63,Immigration,https://www.vice.com/en_us/article/bvgamz/ice-is-asking-for-45000-surgical-masks-when-some-doctors-and-nurses-cant-even-find-one,80.0,11.82,6.232220160791589,5.585575139146567,75.81,50,Partially Right,100.0,59.0,8,122.0,vice.com,4528
64,Immigration,https://yro.slashdot.org/story/20/03/23/1422245/as-coronavirus-surveillance-escalates-personal-privacy-plummets,100.0,6.25,6.25,0.0,79.69,100,Right,nan,nan,nan,nan,yro.slashdot.org,1882
65,Immigration,https://time.com/5812616/protect-americas-vulnerable-coronavirus/,80.0,13.7,6.372407548878137,7.325111862926989,66.97,100,Left,95.0,64.0,8,1028.0,time.com,6481
67,Immigration,https://time.com/5807376/virus-name-foreign-history/,40.0,8.35,6.447635844461243,1.9032544836116265,81.57,50,Partially Left,95.0,64.0,8,1028.0,time.com,6871
68,Immigration,https://news.yahoo.com/mexican-man-died-ice-custody-130200923.html,80.0,9.21,5.0,4.206349206349206,81.06,50,Partially Left,87.5,95.0,8,8.0,news.yahoo.com,1568
69,Immigration,https://www.reuters.com/article/us-usa-immigration-asylum-seekers-wideri-idUSKBN20Z1RY,80.0,15.31,10.217863155363156,5.092592592592593,65.09,50,Partially Left,100.0,87.0,9,544.0,reuters.com,3919
70,Immigration,https://www.reuters.com/article/us-health-coronavirus-trump-minorities-idUSKBN21C1E7,40.0,10.05,8.596132756132754,1.4511111111111112,67.64,50,Partially Left,100.0,87.0,9,544.0,reuters.com,4731
71,Immigration,https://www.reuters.com/article/us-health-coronavirus-usa-airports-idUSKBN2120V7,80.0,8.51,7.757151515151516,0.75,73.59,50,Partially Left,100.0,87.0,9,544.0,reuters.com,2868
72,Immigration,https://www.businessinsider.com/americans-see-increase-in-racism-and-xenophobia-as-coronavirus-spreads,80.0,14.73,8.6755561000844,6.056932759762948,67.91,50,Partially Right,100.0,57.0,8,352.0,businessinsider.com,7041
73,Immigration,https://www.businessinsider.com/holland-america-gives-rotterdam-passengers-packing-instructions-2020-4,80.0,8.72,6.717171717171717,2.001823251823252,71.18,100,Right,100.0,57.0,8,352.0,businessinsider.com,7703
74,Immigration,https://www.buzzfeed.com/sabavasefi/refugee-cough-asthma-immigration-detention-mantra-hotel,80.0,15.35,3.6346153846153846,11.720085470085472,63.26,50,Partially Left,nan,nan,nan,nan,buzzfeed.com,5087
75,Immigration,https://news.yahoo.com/rapes-murders-coronavirus-dangers-us-080030334.html,40.0,12.51,5.201082251082251,7.3079365079365095,69.44,100,Right,87.5,95.0,8,8.0,news.yahoo.com,5399
76,Immigration,https://news.yahoo.com/coronavirus-may-stop-hundreds-thousands-190207919.html,40.0,14.12,8.348051948051948,5.770833333333333,65.0,100,Right,87.5,95.0,8,8.0,news.yahoo.com,2794
77,Immigration,https://news.yahoo.com/woman-sentenced-jail-2018-jail-154246151.html,80.0,8.76,4.254079254079254,4.510489510489511,72.56,100,Left,87.5,95.0,8,8.0,news.yahoo.com,1338
78,Immigration,https://www.vox.com/2020/3/19/21184081/trump-coronavirus-immigration-enforcement-courts-ice,40.0,8.22,5.773307050092763,2.442672902494331,67.36,100,Right,100.0,53.0,8,837.0,vox.com,12754
79,Immigration,https://news.yahoo.com/u-postpones-remain-mexico-hearings-020938742.html,40.0,15.5,7.387028176501861,8.114035087719298,66.27,100,Right,87.5,95.0,8,8.0,news.yahoo.com,4909
80,Immigration,https://www.buzzfeed.com/hannahryan/coronavirus-australia-doctors-covid-detention-immigration,80.0,8.96,8.469102792632203,0.49019607843137253,77.82,100,Left,nan,nan,nan,nan,buzzfeed.com,3770
